team,year,league,,,Over 500,Champion,Playoffs,Playoff Win,Final 2,,,
NYK,1963,N,1.530500126,0.137298988,0,0,0,0,0,,,
PHI,1963,N,1.812640706,0.48224496,0,0,1,0,0,,,
SFW,1963,N,0.885879408,-0.283983248,1,0,1,1,1,,,
STL,1963,N,1.628230151,0.427789017,1,0,1,1,0,,,
BAL,1964,N,1.871350309,0.85509461,0,0,1,1,0,,,
BOS,1964,N,1.23582127,-0.654790415,1,1,1,1,1,,,
CIN,1964,N,1.552219459,0.176249674,1,0,1,0,0,,,
DET,1964,N,0.838102114,-0.751013369,0,0,0,0,0,,,
LAL,1964,N,1.380195486,0.730456514,1,0,1,1,1,,,
NYK,1964,N,1.119911864,0.154927579,0,0,0,0,0,,,
PHI,1964,N,1.734930368,0.588547198,0,0,1,0,0,,,
SFW,1964,N,0.980974333,-0.254848905,0,0,0,0,0,,,
STL,1964,N,1.279427766,0.636458497,1,0,1,0,0,,,
BAL,1965,N,2.544300586,0.652927767,0,0,1,0,0,,,
BOS,1965,N,1.406589408,-0.22371646,1,1,1,1,1,,,
CIN,1965,N,1.936440341,0.112020931,1,0,1,0,0,,,
DET,1965,N,1.210747867,-0.474923879,0,0,0,0,0,,,
LAL,1965,N,2.312267141,0.475222062,1,0,1,1,1,,,
NYK,1965,N,2.317319847,0.597732679,0,0,0,0,0,,,
PHI,1965,N,2.110106004,0.261026282,1,0,1,0,0,,,
SFW,1965,N,2.005114628,-0.093441491,0,0,0,0,0,,,
STL,1965,N,1.643445831,0.453258103,0,0,1,1,0,,,
BAL,1966,N,1.934812464,-0.308279038,0,0,0,0,0,,,
BOS,1966,N,2.32766346,0.154462184,1,0,1,1,0,,,
CHI,1966,N,1.964921159,-0.164052002,0,0,1,0,0,,,
CIN,1966,N,1.990025773,-0.065749214,0,0,1,0,0,,,
DET,1966,N,1.527414425,-0.164686322,0,0,0,0,0,,,
LAL,1966,N,2.499564026,-0.029904472,0,0,1,0,0,,,
NYK,1966,N,2.061748695,0.209185315,0,0,1,0,0,,,
PHI,1966,N,2.812133641,0.405232279,1,1,1,1,1,,,
SFW,1966,N,2.71897618,0.062970427,1,0,1,1,1,,,
STL,1966,N,1.879885195,0.354547835,0,0,1,1,0,,,
ANA,1967,A,1.101898233,0.857361526,0,0,0,0,0,,,
BAL,1967,N,2.176568823,0.325689882,0,0,0,0,0,,,
BOS,1967,N,2.16626767,0.165557056,1,1,1,1,1,,,
CHI,1967,N,1.350753571,-0.072064946,0,0,1,0,0,,,
CIN,1967,N,2.126390941,-0.021846497,0,0,0,0,0,,,
DEN,1967,A,-0.062437335,0.578624855,1,0,1,0,0,,,
DET,1967,N,2.599190138,0.454674253,0,0,1,0,0,,,
DLC,1967,A,0.497972791,0.504190275,1,0,1,1,0,,,
HMV,1967,A,-0.22589798,-0.254413024,0,0,1,0,0,,,
IND,1967,A,0.340604616,0.611889544,0,0,1,0,0,,,
KEN,1967,A,-0.093385407,0.27888468,0,0,1,0,0,,,
LAL,1967,N,2.675205465,0.44052461,1,0,1,1,1,,,
MNM,1967,A,0.249581894,0.27315002,1,0,1,1,0,,,
NJA,1967,A,0.815213308,0.699817139,0,0,0,0,0,,,
