team,year,league,shots made,shots attempted,free throws made,free throws attempted,assists,fouls committed,points scored,points allowed,games won,games lost,win pct,Over 500,Champion,total games,shots made/100,shots attempted/100,free throws made/100,free throws attempted/100,assists/100,fouls commited/100,points scored/100,points allowed/100,Playoffs,Playoff Win,Final 2
CHI,1967,N,3488,8138,2006,2718,1527,2130,8982,9307,29,53,0.353658537,No,No,82,4253.658537,9924.390244,2446.341463,3314.634146,1862.195122,2597.560976,10953.65854,11350,Yes,No,No
CIN,1967,N,3679,7864,2204,2892,2048,2016,9562,9627,39,43,0.475609756,No,No,82,4486.585366,9590.243902,2687.804878,3526.829268,2497.560976,2458.536585,11660.97561,11740.2439,No,No,No
DEN,1967,A,3119,7271,1981,2725,1044,1992,8244,7914,45,33,0.576923077,Yes,No,78,3998.717949,9321.794872,2539.74359,3493.589744,1338.461538,2553.846154,10569.23077,10146.15385,Yes,No,No
DET,1967,N,3755,8386,2215,3129,1700,2240,9725,9889,40,42,0.487804878,No,No,82,4579.268293,10226.82927,2701.219512,3815.853659,2073.170732,2731.707317,11859.7561,12059.7561,Yes,No,No
DLC,1967,A,3260,7167,2027,2810,1344,1997,8576,8470,46,32,0.58974359,Yes,No,78,4179.487179,9188.461538,2598.717949,3602.564103,1723.076923,2560.25641,10994.87179,10858.97436,Yes,Yes,No
HMV,1967,A,3094,7731,1774,2537,1175,1906,8074,8407,29,49,0.371794872,No,No,78,3966.666667,9911.538462,2274.358974,3252.564103,1506.410256,2443.589744,10351.28205,10778.20513,Yes,No,No
IND,1967,A,3174,7397,2102,2971,1176,1788,8546,8530,38,40,0.487179487,No,No,78,4069.230769,9483.333333,2694.871795,3808.974359,1507.692308,2292.307692,10956.41026,10935.89744,Yes,No,No
KEN,1967,A,3044,7427,1921,2677,1165,1928,8150,8207,36,42,0.461538462,No,No,78,3902.564103,9521.794872,2462.820513,3432.051282,1493.589744,2471.794872,10448.71795,10521.79487,Yes,No,No
LAL,1967,N,3827,8031,2283,3143,1983,2152,9937,9479,52,30,0.634146342,Yes,No,82,4667.073171,9793.902439,2784.146341,3832.926829,2418.292683,2624.390244,12118.29268,11559.7561,Yes,Yes,Yes
MNM,1967,A,3248,8084,1896,2968,1019,1860,8469,8163,50,28,0.641025641,Yes,No,78,4164.102564,10364.10256,2430.769231,3805.128205,1306.410256,2384.615385,10857.69231,10465.38462,Yes,Yes,No
NJA,1967,A,3189,7727,2138,2876,1200,2051,8641,8768,36,42,0.461538462,No,No,78,4088.461538,9906.410256,2741.025641,3687.179487,1538.461538,2629.487179,11078.20513,11241.02564,No,No,No
NOB,1967,A,3207,7521,2245,3000,1355,1839,8712,8334,48,30,0.615384615,Yes,No,78,4111.538462,9642.307692,2878.205128,3846.153846,1737.179487,2357.692308,11169.23077,10684.61538,Yes,Yes,Yes
NYK,1967,N,3682,8070,2159,3042,1967,2364,9523,9373,43,39,0.524390244,Yes,No,82,4490.243902,9841.463415,2632.926829,3709.756098,2398.780488,2882.926829,11613.41463,11430.4878,Yes,No,No
OAK,1967,A,3215,7680,2109,2850,1149,1957,8642,9160,22,56,0.282051282,No,No,78,4121.794872,9846.153846,2703.846154,3653.846154,1473.076923,2508.974359,11079.48718,11743.58974,No,No,No
PHI,1967,N,3965,8414,2121,3338,2197,1851,10051,9348,62,20,0.756097561,Yes,No,82,4835.365854,10260.97561,2586.585366,4070.731707,2679.268293,2257.317073,12257.31707,11400,Yes,Yes,No
PTP,1967,A,3230,7528,2028,2839,1239,1846,8731,8479,54,24,0.692307692,Yes,Yes,78,4141.025641,9651.282051,2600,3639.74359,1588.461538,2366.666667,11193.58974,10870.51282,Yes,Yes,Yes
SDR,1967,N,3466,8547,2083,2929,1837,2188,9015,9922,15,67,0.182926829,No,No,82,4226.829268,10423.17073,2540.243902,3571.95122,2240.243902,2668.292683,10993.90244,12100,No,No,No
SEA,1967,N,3772,8593,2188,3042,1998,2372,9732,10258,23,59,0.280487805,No,No,82,4600,10479.26829,2668.292683,3709.756098,2436.585366,2892.682927,11868.29268,12509.7561,No,No,No
SFW,1967,N,3632,8587,2334,3153,1901,2265,9598,9643,43,39,0.524390244,Yes,No,82,4429.268293,10471.95122,2846.341463,3845.121951,2318.292683,2762.195122,11704.87805,11759.7561,Yes,Yes,No
STL,1967,N,3504,7765,2258,3111,1988,2046,9266,9045,56,26,0.682926829,Yes,No,82,4273.170732,9469.512195,2753.658537,3793.902439,2424.390244,2495.121951,11300,11030.4878,Yes,No,No
ATL,1968,N,3605,7844,1913,2785,2069,2082,9123,8971,48,34,0.585365854,Yes,No,82,4396.341463,9565.853659,2332.926829,3396.341463,2523.170732,2539.02439,11125.60976,10940.2439,Yes,Yes,No
BAL,1968,N,3770,8567,2002,2734,1682,2037,9542,9192,57,25,0.695121951,Yes,No,82,4597.560976,10447.56098,2441.463415,3334.146341,2051.219512,2484.146341,11636.58537,11209.7561,Yes,No,No
BOS,1968,N,3583,8316,1936,2657,1953,2073,9102,8643,48,34,0.585365854,Yes,Yes,82,4369.512195,10141.46341,2360.97561,3240.243902,2381.707317,2528.04878,11100,10540.2439,Yes,Yes,Yes
CHI,1968,N,3355,8021,1877,2577,1597,2064,8587,8766,33,49,0.402439024,No,No,82,4091.463415,9781.707317,2289.02439,3142.682927,1947.560976,2517.073171,10471.95122,10690.2439,No,No,No
CIN,1968,N,3565,7742,2262,3012,1983,2031,9392,9479,41,41,0.5,No,No,82,4347.560976,9441.463415,2758.536585,3673.170732,2418.292683,2476.829268,11453.65854,11559.7561,No,No,No
DEN,1968,A,3427,7554,2026,2769,1239,2102,8959,8842,44,34,0.564102564,Yes,No,78,4393.589744,9684.615385,2597.435897,3550,1588.461538,2694.871795,11485.89744,11335.89744,Yes,No,No
DET,1968,N,3609,7997,2141,3025,1757,2105,9359,9619,32,50,0.390243902,No,No,82,4401.219512,9752.439024,2610.97561,3689.02439,2142.682927,2567.073171,11413.41463,11730.4878,No,No,No
DLC,1968,A,3185,7155,2192,2948,1320,2180,8657,8710,41,37,0.525641026,Yes,No,78,4083.333333,9173.076923,2810.25641,3779.487179,1692.307692,2794.871795,11098.71795,11166.66667,Yes,No,No
HMV,1968,A,3179,7732,2196,2991,1371,2157,8683,9127,23,55,0.294871795,No,No,78,4075.641026,9912.820513,2815.384615,3834.615385,1757.692308,2765.384615,11132.05128,11701.28205,No,No,No
IND,1968,A,3474,7709,2273,3180,1553,2106,9331,9010,44,34,0.564102564,Yes,No,78,4453.846154,9883.333333,2914.102564,4076.923077,1991.025641,2700,11962.82051,11551.28205,Yes,Yes,Yes
KEN,1968,A,3180,7613,1977,2690,1453,2077,8672,8659,42,36,0.538461539,Yes,No,78,4076.923077,9760.25641,2534.615385,3448.717949,1862.820513,2662.820513,11117.94872,11101.28205,Yes,No,No
LAL,1968,N,3574,7620,2056,3161,2068,1773,9204,8864,55,27,0.670731707,Yes,No,82,4358.536585,9292.682927,2507.317073,3854.878049,2521.95122,2162.195122,11224.39024,10809.7561,Yes,Yes,Yes
LAS,1968,A,3208,7419,2291,3243,1244,2276,8925,9163,33,45,0.423076923,No,No,78,4112.820513,9511.538462,2937.179487,4157.692308,1594.871795,2917.948718,11442.30769,11747.4359,No,No,No
MFL,1968,A,3406,7625,2167,3023,1532,2092,9008,8975,43,35,0.551282051,Yes,No,78,4366.666667,9775.641026,2778.205128,3875.641026,1964.102564,2682.051282,11548.71795,11506.41026,Yes,Yes,No
MIL,1968,N,3537,8258,1966,2638,1882,2187,9040,9463,27,55,0.329268293,No,No,82,4313.414634,10070.73171,2397.560976,3217.073171,2295.121951,2667.073171,11024.39024,11540.2439,No,No,No
MNP,1968,A,3320,7985,1991,2868,1331,1988,8914,8904,36,42,0.461538462,No,No,78,4256.410256,10237.17949,2552.564103,3676.923077,1706.410256,2548.717949,11428.20513,11415.38462,Yes,No,No
NOB,1968,A,3386,7697,2148,2845,1617,1917,9053,8787,46,32,0.58974359,Yes,No,78,4341.025641,9867.948718,2753.846154,3647.435897,2073.076923,2457.692308,11606.41026,11265.38462,Yes,Yes,No
NYK,1968,N,3588,7813,1911,2596,2071,2175,9087,8626,54,28,0.658536585,Yes,No,82,4375.609756,9528.04878,2330.487805,3165.853659,2525.609756,2652.439024,11081.70732,10519.5122,Yes,Yes,No
NYN,1968,A,3148,7563,2090,2816,1409,2260,8463,9143,17,61,0.217948718,No,No,78,4035.897436,9696.153846,2679.487179,3610.25641,1806.410256,2897.435897,10850,11721.79487,No,No,No
OAK,1968,A,3615,7663,2607,3434,1668,2126,9866,9211,60,18,0.769230769,Yes,Yes,78,4634.615385,9824.358974,3342.307692,4402.564103,2138.461538,2725.641026,12648.71795,11808.97436,Yes,Yes,Yes
PHI,1968,N,3754,8274,2238,3087,1914,2145,9746,9332,55,27,0.670731707,Yes,No,82,4578.04878,10090.2439,2729.268293,3764.634146,2334.146341,2615.853659,11885.36585,11380.4878,Yes,No,No
PHO,1968,N,3541,8242,2080,2950,1918,2086,9162,9881,16,66,0.195121951,No,No,82,4318.292683,10051.21951,2536.585366,3597.560976,2339.02439,2543.902439,11173.17073,12050,No,No,No
