team,year,league,shots made,shots attempted,free throws made,free throws attempted,offensive rebounds,defensive rebounds,total rebounds,assists,fouls commited,steals,turnovers,blocks,total points,made shots allowed,shot attempts allowed,made free throws against,free throw attempts allowed,offensive rebounds allowed,defensive rebounds allowed,total rebounds allowed,assists allowed,fouls against,steals against,turnovers against,blocks against,3 pointers allowed,points allowed,pace,games won,games lost,win pct,Over 500,Champion,Playoffs,Playoff Win,Final 2
SAS,1976,N,3711,7657,2010,2522,1110,2550,3660,2115,1966,857,1770,499,9432,3935,8075,1512,2059,1329,2687,4016,2159,2189,811,1822,420,0,9382,114.23162,44,38,0.536585366,Yes,No,Yes,No,No
SEA,1976,N,3439,7639,1646,2386,1355,2433,3788,1772,2198,932,1759,503,8524,3394,7339,1863,2474,1257,2651,3908,2046,2104,726,1905,476,0,8651,109.80611,40,42,0.487804878,No,No,No,No,No
WA1,1976,N,3514,7479,1622,2264,1185,2758,3943,1935,1940,642,1677,433,8650,3552,7751,1462,1943,1167,2565,3732,1893,2088,815,1506,348,0,8566,108.25697,48,34,0.585365854,Yes,No,Yes,Yes,No
ATL,1977,N,3335,7253,1836,2316,1160,2359,3519,1901,2470,916,1592,408,8506,3162,6671,2193,2930,1160,2606,3766,1774,2122,750,1980,484,0,8517,105.67119,41,41,0.5,No,No,Yes,No,No
BOS,1977,N,3494,7635,1682,2159,1235,2850,4085,1969,2033,643,1652,295,8670,3539,7761,1752,2278,1142,2575,3717,1981,1871,763,1412,374,0,8830,109.00156,32,50,0.390243902,No,No,No,No,No
BUF,1977,N,3413,7323,1808,2314,1083,2538,3621,1975,2017,650,1575,327,8634,3623,7609,1695,2250,1178,2587,3765,2137,2003,722,1476,375,0,8941,107.15748,27,55,0.329268293,No,No,No,No,No
CHI,1977,N,3330,7041,1863,2471,1248,2577,3825,2119,1930,665,1667,322,8523,3565,7273,1466,1980,1065,2367,3432,2076,2199,777,1479,451,0,8596,103.3818,40,42,0.487804878,No,No,No,No,No
CLE,1977,N,3496,7707,1569,2116,1187,2676,3863,1740,1832,692,1382,455,8561,3474,7620,1574,2113,1214,2779,3993,1915,1952,690,1475,446,0,8522,106.63529,43,39,0.524390244,Yes,No,Yes,No,No
DEN,1977,N,3548,7441,2068,2705,1177,2736,3913,2187,2116,824,1748,422,9164,3678,7799,1740,2365,1267,2546,3813,2248,2220,877,1620,524,0,9096,111.17442,48,34,0.585365854,Yes,No,Yes,Yes,No
DET,1977,N,3552,7424,1832,2490,1229,2601,3830,1840,1980,866,1858,330,8936,3688,7706,1662,2177,1244,2494,3738,2105,2088,902,1719,395,0,9038,110.5258,38,44,0.463414634,No,No,No,No,No
