team,year,league,free throws made,assists,total points,made shots allowed,shot attempts allowed,Over 500,Champion,Playoffs,Playoff Win,Final 2
SAS,1988,N,1651,2037,8652,3486,7148,0,0,0,0,0
SEA,1988,N,1775,2083,9196,3437,7067,1,0,1,1,0
UTA,1988,N,2110,2108,8588,3113,7170,1,0,1,0,0
WA1,1988,N,1789,2048,8879,3486,7235,0,0,0,0,0
ATL,1989,N,1943,1820,8901,3438,6935,0,0,0,0,0
BOS,1989,N,1791,2423,9023,3438,7383,1,0,1,0,0
CHA,1989,N,1487,2080,8232,3438,6922,0,0,0,0,0
CHI,1989,N,1665,2172,8977,3361,6819,1,0,1,1,0
CLE,1989,N,1637,2106,8411,3418,7135,1,0,1,0,0
DAL,1989,N,1735,1776,8384,3288,7013,1,0,1,0,0
DEN,1989,N,1737,2275,9397,3589,7334,1,0,1,0,0
DET,1989,N,1713,1996,8556,3043,6809,1,1,1,1,1
GSW,1989,N,2313,1978,9534,3766,7885,0,0,0,0,0
HOU,1989,N,1633,2194,8752,3399,7322,0,0,1,0,0
IND,1989,N,1906,2023,8962,3486,7225,1,0,1,0,0
LAC,1989,N,1815,1978,8509,3432,7207,0,0,0,0,0
LAL,1989,N,1902,2232,9079,3382,7247,1,0,1,1,0
MIA,1989,N,1393,1957,8247,3418,7010,0,0,0,0,0
MIL,1989,N,1722,2046,8691,3292,6871,1,0,1,0,0
MIN,1989,N,1596,1844,7803,3081,6391,0,0,0,0,0
NJN,1989,N,1754,1475,8208,3403,7020,0,0,0,0,0
NYK,1989,N,1775,2140,8879,3497,7430,1,0,1,1,0
ORL,1989,N,2060,1993,9090,3864,7757,0,0,0,0,0
PHI,1989,N,1976,1932,9039,3417,7117,1,0,1,1,0
PHO,1989,N,2159,2109,9423,3528,7588,1,0,1,1,0
POR,1989,N,2031,2085,9365,3351,7227,1,0,1,1,1
SAC,1989,N,1515,2052,8341,3384,7158,0,0,0,0,0
SAS,1989,N,1888,2037,8718,3269,7090,1,0,1,1,0
SEA,1989,N,1606,1874,8769,3257,6704,0,0,0,0,0
