team,year,league,shots made,shots attempted,free throws made,free throws attempted,assists,fouls committed,points scored,points allowed,games won,games lost,win pct,Over 500,Champion,Playoffs,Playoff Win,Final 2
KEN,1972,A,3770,7900,1779,2453,2287,1976,9401,8860,56,28,0.666666667,1,0,0,0,1
LAL,1972,N,3740,7819,1679,2264,2302,1636,9159,8459,60,22,0.731707317,1,0,1,1,1
MIL,1972,N,3759,7808,1271,1687,2226,1763,8789,8115,60,22,0.731707317,1,0,1,0,0
MMT,1972,A,3618,7758,2038,2721,1943,2340,9368,9921,24,60,0.285714286,0,0,0,0,0
NYK,1972,N,3627,7764,1356,1739,2187,1775,8610,8053,57,25,0.695121951,1,1,1,1,1
NYN,1972,A,3400,7073,1851,2513,1899,2112,8700,9245,30,54,0.357142857,0,0,1,0,0
PHI,1972,N,3471,8264,1598,2130,1688,1984,8540,9531,9,73,0.109756098,0,0,0,0,0
PHO,1972,N,3612,7942,1931,2437,1944,2012,9155,9260,38,44,0.463414634,0,0,0,0,0
POR,1972,N,3588,7842,1531,2129,2102,1970,8707,9218,21,61,0.256097561,0,0,0,0,0
SDQ,1972,A,3542,8009,1970,2684,1934,2139,9153,9513,30,54,0.357142857,0,0,1,0,0
SEA,1972,N,3447,7681,1606,2080,1958,1877,8500,8984,26,56,0.317073171,0,0,0,0,0
UTS,1972,A,3656,7499,2291,2886,1963,2240,9708,9244,55,29,0.654761905,1,0,1,1,0
VIR,1972,A,3722,7757,2097,2785,2029,2317,9581,9613,42,42,0.5,0,0,1,0,0
